EmployeeKey,AttritionProbability,RiskBand,RecommendedAction
101298,0.1883,Low,Compensation benchmarking review
101299,0.18,Low,Career path / promotion review
101300,0.0528,Low,Career path / promotion review
101301,0.0555,Low,Career path / promotion review
101302,0.1592,Low,Retention conversation / stay interview
101303,0.1023,Low,Career path / promotion review
101304,0.0797,Low,Flexible or hybrid work option
101305,0.1891,Low,Flexible or hybrid work option
101306,0.1165,Low,Retention conversation / stay interview
101307,0.4854,Medium,Manager check-in + workload review
101308,0.1863,Low,Retention conversation / stay interview
101309,0.1993,Low,Career path / promotion review
101310,0.1923,Low,Flexible or hybrid work option
101311,0.3443,Low,Manager check-in + workload review
101312,0.1527,Low,Retention conversation / stay interview
101313,0.2846,Low,Manager check-in + workload review
101314,0.0777,Low,Career path / promotion review
101315,0.1276,Low,Career path / promotion review
101316,0.2907,Low,Flexible or hybrid work option
101317,0.5398,Medium,Manager check-in + workload review
101318,0.2188,Low,Career path / promotion review
101319,0.3145,Low,Career path / promotion review
101320,0.1297,Low,Career path / promotion review
101321,0.2109,Low,Compensation benchmarking review
101322,0.0888,Low,Retention conversation / stay interview
101323,0.1714,Low,Career path / promotion review
101324,0.3158,Low,Flexible or hybrid work option
101325,0.2319,Low,Compensation benchmarking review
101326,0.0788,Low,Retention conversation / stay interview
101327,0.363,Low,Career path / promotion review
101328,0.3675,Low,Career path / promotion review
101329,0.237,Low,Career path / promotion review
101330,0.2067,Low,Compensation benchmarking review
101331,0.3404,Low,Career path / promotion review
101332,0.1203,Low,Career path / promotion review
101333,0.5087,Medium,Manager check-in + workload review
101334,0.1928,Low,Retention conversation / stay interview
101335,0.2054,Low,Career path / promotion review
101336,0.0778,Low,Retention conversation / stay interview
101337,0.2152,Low,Career path / promotion review
101338,0.3221,Low,Flexible or hybrid work option
101339,0.1568,Low,Career path / promotion review
101340,0.2864,Low,Career path / promotion review
101341,0.0921,Low,Retention conversation / stay interview
101342,0.3429,Low,Career path / promotion review
101343,0.3178,Low,Flexible or hybrid work option
101344,0.525,Medium,Manager check-in + workload review
101345,0.0777,Low,Career path / promotion review
101346,0.0978,Low,Career path / promotion review
101347,0.2119,Low,Retention conversation / stay interview
101348,0.1886,Low,Flexible or hybrid work option
101349,0.5121,Medium,Manager check-in + workload review
101350,0.0621,Low,Career path / promotion review
101351,0.258,Low,Career path / promotion review
101352,0.0802,Low,Retention conversation / stay interview
101353,0.5309,Medium,Manager check-in + workload review
101354,0.0518,Low,Retention conversation / stay interview
101355,0.144,Low,Career path / promotion review
101356,0.1936,Low,Career path / promotion review
101357,0.2063,Low,Retention conversation / stay interview
101358,0.0926,Low,Flexible or hybrid work option
101359,0.1219,Low,Retention conversation / stay interview
101360,0.2069,Low,Flexible or hybrid work option
101361,0.0508,Low,Retention conversation / stay interview
101362,0.1557,Low,Retention conversation / stay interview
101363,0.2039,Low,Career path / promotion review
101364,0.1367,Low,Flexible or hybrid work option
101365,0.1596,Low,Career path / promotion review
101366,0.1832,Low,Flexible or hybrid work option
101367,0.2462,Low,Career path / promotion review
101368,0.1341,Low,Retention conversation / stay interview
101369,0.2885,Low,Career path / promotion review
101370,0.1532,Low,Career path / promotion review
101371,0.1767,Low,Career path / promotion review
101372,0.1657,Low,Flexible or hybrid work option
101373,0.0971,Low,Flexible or hybrid work option
101374,0.2486,Low,Flexible or hybrid work option
101375,0.1642,Low,Flexible or hybrid work option
101376,0.1037,Low,Retention conversation / stay interview
101377,0.135,Low,Career path / promotion review
101378,0.2255,Low,Compensation benchmarking review
101379,0.2397,Low,Flexible or hybrid work option
101380,0.1552,Low,Manager check-in + workload review
101381,0.3658,Low,Manager check-in + workload review
101382,0.1627,Low,Career path / promotion review
101383,0.0922,Low,Career path / promotion review
101384,0.095,Low,Retention conversation / stay interview
101385,0.2992,Low,Career path / promotion review
101386,0.152,Low,Flexible or hybrid work option
101387,0.2745,Low,Flexible or hybrid work option
101388,0.2721,Low,Flexible or hybrid work option
101389,0.1569,Low,Retention conversation / stay interview
101390,0.0315,Low,Career path / promotion review
101391,0.1469,Low,Flexible or hybrid work option
101392,0.1094,Low,Retention conversation / stay interview
101393,0.1225,Low,Retention conversation / stay interview
101394,0.1695,Low,Career path / promotion review
101395,0.2536,Low,Flexible or hybrid work option
101396,0.0844,Low,Career path / promotion review
101397,0.1363,Low,Flexible or hybrid work option
101398,0.1227,Low,Career path / promotion review
101399,0.0632,Low,Career path / promotion review
101400,0.0828,Low,Flexible or hybrid work option
101401,0.5075,Medium,Manager check-in + workload review
101402,0.3392,Low,Manager check-in + workload review
101403,0.2201,Low,Flexible or hybrid work option
101404,0.1919,Low,Career path / promotion review
101405,0.2891,Low,Flexible or hybrid work option
101406,0.4786,Medium,Manager check-in + workload review
101407,0.2144,Low,Flexible or hybrid work option
101408,0.1109,Low,Flexible or hybrid work option
101409,0.1225,Low,Career path / promotion review
101410,0.1409,Low,Career path / promotion review
101411,0.4581,Medium,Manager check-in + workload review
101412,0.201,Low,Career path / promotion review
101413,0.1078,Low,Career path / promotion review
101414,0.1362,Low,Career path / promotion review
101415,0.1818,Low,Retention conversation / stay interview
101416,0.1123,Low,Retention conversation / stay interview
101417,0.2318,Low,Flexible or hybrid work option
101418,0.2489,Low,Flexible or hybrid work option
101419,0.4025,Medium,Career path / promotion review
101420,0.2297,Low,Career path / promotion review
101421,0.1621,Low,Retention conversation / stay interview
101422,0.1917,Low,Retention conversation / stay interview
101423,0.1383,Low,Flexible or hybrid work option
101424,0.2776,Low,Flexible or hybrid work option
101425,0.2914,Low,Flexible or hybrid work option
101426,0.2084,Low,Career path / promotion review
101427,0.089,Low,Retention conversation / stay interview
101428,0.1318,Low,Career path / promotion review
101429,0.1374,Low,Flexible or hybrid work option
101430,0.1976,Low,Career path / promotion review
101431,0.1015,Low,Career path / promotion review
101432,0.3422,Low,Manager check-in + workload review
101433,0.3536,Low,Manager check-in + workload review
101434,0.0637,Low,Career path / promotion review
101435,0.0757,Low,Compensation benchmarking review
101436,0.15,Low,Career path / promotion review
101437,0.4123,Medium,Career path / promotion review
101438,0.1089,Low,Retention conversation / stay interview
101439,0.154,Low,Career path / promotion review
101440,0.0935,Low,Career path / promotion review
101441,0.1495,Low,Retention conversation / stay interview
101442,0.1505,Low,Career path / promotion review
101443,0.3705,Low,Career path / promotion review
101444,0.1293,Low,Career path / promotion review
101445,0.1156,Low,Career path / promotion review
101446,0.147,Low,Career path / promotion review
101447,0.3649,Low,Flexible or hybrid work option
101448,0.2171,Low,Career path / promotion review
101449,0.1478,Low,Flexible or hybrid work option
101450,0.2237,Low,Flexible or hybrid work option
101451,0.0832,Low,Retention conversation / stay interview
101452,0.2906,Low,Manager check-in + workload review
101453,0.4134,Medium,Manager check-in + workload review
101454,0.3654,Low,Career path / promotion review
101455,0.3335,Low,Compensation benchmarking review
101456,0.3469,Low,Career path / promotion review
101457,0.1961,Low,Flexible or hybrid work option
101458,0.2909,Low,Career path / promotion review
101459,0.0923,Low,Career path / promotion review
101460,0.3641,Low,Career path / promotion review
101461,0.3474,Low,Flexible or hybrid work option
101462,0.1914,Low,Flexible or hybrid work option
101463,0.206,Low,Flexible or hybrid work option
101464,0.1929,Low,Retention conversation / stay interview
101465,0.3362,Low,Manager check-in + workload review
101466,0.1618,Low,Career path / promotion review
101467,0.0526,Low,Flexible or hybrid work option
101468,0.3357,Low,Flexible or hybrid work option
101469,0.2249,Low,Career path / promotion review
101470,0.2139,Low,Retention conversation / stay interview
101471,0.3262,Low,Career path / promotion review
101472,0.1921,Low,Retention conversation / stay interview
101473,0.2023,Low,Career path / promotion review
101474,0.0721,Low,Flexible or hybrid work option
101475,0.2187,Low,Flexible or hybrid work option
101476,0.0733,Low,Compensation benchmarking review
101477,0.2609,Low,Flexible or hybrid work option
101478,0.4792,Medium,Manager check-in + workload review
101479,0.1913,Low,Flexible or hybrid work option
101480,0.0396,Low,Retention conversation / stay interview
101481,0.0694,Low,Career path / promotion review
101482,0.3981,Low,Flexible or hybrid work option
101483,0.268,Low,Career path / promotion review
101484,0.1149,Low,Career path / promotion review
101485,0.1091,Low,Flexible or hybrid work option
101486,0.2195,Low,Compensation benchmarking review
101487,0.1595,Low,Career path / promotion review
101488,0.238,Low,Flexible or hybrid work option
101489,0.2599,Low,Manager check-in + workload review
101490,0.1505,Low,Career path / promotion review
101491,0.127,Low,Flexible or hybrid work option
101492,0.0641,Low,Career path / promotion review
101493,0.2778,Low,Manager check-in + workload review
101494,0.3107,Low,Career path / promotion review
101495,0.3332,Low,Flexible or hybrid work option
101496,0.0554,Low,Career path / promotion review
101497,0.2731,Low,Manager check-in + workload review
101498,0.0886,Low,Flexible or hybrid work option
101499,0.3654,Low,Career path / promotion review
101500,0.1258,Low,Flexible or hybrid work option
